"Field";"Type";"Null";"Key";"Default";"Extra"
"id";"int(11)";"NO";"PRI";;"auto_increment"
"internal_field";"smallint(6)";"NO";"";"0";""
"name";"varchar(200)";"NO";"UNI";;""
"label";"varchar(200)";"NO";"";;""
"field_order";"int(11)";"NO";"";;""
"field_type";"varchar(200)";"NO";"";;""
"object_type";"varchar(200)";"NO";"";;""
"config";"longblob";"YES";"";;""
"valid_id";"smallint(6)";"NO";"MUL";;""
"create_time";"datetime";"NO";"";;""
"create_by";"int(11)";"NO";"MUL";;""
"change_time";"datetime";"NO";"";;""
"change_by";"int(11)";"NO";"MUL";;""
